,Unidade,Tipo Vaga
0,1-1,Regular
1,1-101,Regular
2,1-102,Regular
3,1-103,Regular
4,1-104,Regular
5,1-105,PNE
6,1-106,Regular
7,1-11,Regular
8,1-111,Regular
9,1-112,PNE
10,1-113,Regular
11,1-114,Regular
12,1-115,Regular
13,1-116,Regular
14,1-12,Regular
15,1-121,Regular
16,1-122,Regular
17,1-123,Regular
18,1-124,Regular
19,1-125,Regular
20,1-126,Regular
21,1-13,Regular
22,1-131,Regular
23,1-132,PNE
24,1-133,Regular
25,1-134,Regular
26,1-135,Regular
27,1-136,Regular
28,1-14,Regular
29,1-141,Regular
30,1-142,Regular
31,1-143,Regular
32,1-144,Regular
33,1-145,Regular
34,1-146,Regular
35,1-15,Regular
36,1-151,Regular
37,1-152,Regular
38,1-153,Regular
39,1-154,Regular
40,1-155,Regular
41,1-156,Regular
42,1-16,Regular
43,1-161,Regular
44,1-162,PNE
45,1-163,Regular
46,1-164,Regular
47,1-165,Regular
48,1-166,Regular
49,1-2,Regular
50,1-21,Regular
51,1-22,Regular
52,1-23,Regular
53,1-24,Regular
54,1-25,Regular
55,1-26,PNE
56,1-31,Regular
57,1-32,Regular
58,1-33,Regular
59,1-34,Regular
60,1-35,Regular
61,1-36,Regular
62,1-4,Regular
63,1-41,Regular
64,1-42,Regular
65,1-43,Regular
66,1-44,PNE
67,1-45,Regular
68,1-46,Regular
69,1-5,Regular
70,1-51,Regular
71,1-52,Regular
72,1-53,Regular
73,1-54,Regular
74,1-55,Regular
75,1-56,Regular
76,1-61,PNE
77,1-62,PNE
78,1-63,Regular
79,1-64,Regular
80,1-65,Regular
81,1-66,Regular
82,1-71,Regular
83,1-72,Regular
84,1-73,Regular
85,1-74,PNE
86,1-75,Regular
87,1-76,Regular
88,1-81,Regular
89,1-82,Regular
90,1-83,Regular
91,1-84,Regular
92,1-85,Regular
93,1-86,Regular
94,1-91,Regular
95,1-92,Regular
96,1-93,PNE
97,1-94,PNE
98,1-95,Regular
99,1-96,Regular
100,2-1,Regular
101,2-101,Regular
102,2-102,Regular
103,2-103,Regular
104,2-104,Regular
105,2-105,Regular
106,2-106,Regular
107,2-11,Regular
108,2-111,Regular
109,2-112,Regular
110,2-113,Regular
111,2-114,Regular
112,2-115,Regular
113,2-116,Regular
114,2-12,Regular
115,2-121,Regular
116,2-122,Regular
117,2-123,Regular
118,2-124,Regular
119,2-125,Regular
120,2-126,Regular
121,2-13,Regular
122,2-131,Regular
123,2-132,PNE
124,2-133,Regular
125,2-134,Regular
126,2-135,Regular
127,2-136,Regular
128,2-14,Regular
129,2-141,Regular
130,2-142,Regular
131,2-143,Regular
132,2-144,Regular
133,2-145,Regular
134,2-146,Regular
135,2-15,Regular
136,2-151,Regular
137,2-152,Regular
138,2-153,Regular
139,2-154,Regular
140,2-155,Regular
141,2-156,Regular
142,2-16,Regular
143,2-161,Regular
144,2-162,Regular
145,2-163,Regular
146,2-164,PNE
