,Unidade,2020,2021,2022,2023,2024,Tipo Vaga
0,1-1,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
1,1-101,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
2,1-102,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
3,1-103,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
4,1-104,Descoberta,Coberta,Descoberta,Coberta,Descoberta,Regular
5,1-105,Descoberta,Descoberta,Coberta,Coberta,Descoberta,PNE
6,1-106,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
7,1-11,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
8,1-111,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
9,1-112,Descoberta,Descoberta,Descoberta,Descoberta,Descoberta,PNE
10,1-113,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
11,1-114,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
12,1-115,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
13,1-116,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
14,1-12,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
15,1-121,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
16,1-122,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
17,1-123,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
18,1-124,Descoberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
19,1-125,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
20,1-126,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
21,1-13,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
22,1-131,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
23,1-132,Descoberta,Coberta,Descoberta,Coberta,Descoberta,PNE
24,1-133,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
25,1-134,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
26,1-135,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
27,1-136,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
28,1-14,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
29,1-141,Descoberta,Coberta,Descoberta,Descoberta,Coberta,Regular
30,1-142,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
31,1-143,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
32,1-144,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
33,1-145,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
34,1-146,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
35,1-15,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
36,1-151,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
37,1-152,Descoberta,Coberta,Descoberta,Coberta,Descoberta,Regular
38,1-153,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
39,1-154,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
40,1-155,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
41,1-156,Descoberta,Coberta,Descoberta,Descoberta,,Regular
42,1-16,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
